range (byte),stride (byte),niter,t (us)
1264,16,32768,5253.5
1280,16,32768,5241.09
1296,16,32768,5253.12
1312,16,32768,5241.09
1328,16,32768,5252.99
1344,16,32768,5241.09
1360,16,32768,5252.99
1376,16,32768,5241.09
1392,16,32768,5252.1
1408,16,32768,5241.98
1424,16,32768,5252.1
1440,16,32768,5241.09
1456,16,32768,5252.1
1472,16,32768,5241.09
1488,16,32768,5251.07
1504,16,32768,5241.98
1520,16,32768,5251.97
1536,16,32768,5241.09
1552,16,32768,5251.07
1568,16,32768,5241.09
1584,16,32768,5251.07
1600,16,32768,5241.09
1616,16,32768,5251.07
1632,16,32768,5241.09
1648,16,32768,5251.07
1664,16,32768,5241.09
1680,16,32768,5250.05
1696,16,32768,5241.09
1712,16,32768,5251.07
1728,16,32768,5241.09
1744,16,32768,5250.05
1760,16,32768,5241.09
1776,16,32768,5250.05
1792,16,32768,5241.47
1808,16,32768,5250.05
1824,16,32768,5241.09
1840,16,32768,5250.05
1856,16,32768,5241.09
1872,16,32768,5250.05
1888,16,32768,5241.09
1904,16,32768,5250.05
1920,16,32768,5241.09
1936,16,32768,5249.02
1952,16,32768,5241.09
1968,16,32768,5249.02
1984,16,32768,5241.09
2000,16,32768,5249.02
2016,16,32768,5240.83
2032,16,32768,5249.02
2048,16,32768,5241.09
2064,16,32768,5249.02
2080,16,32768,5241.09
2096,16,32768,5248.9
2112,16,32768,5240.96
2128,16,32768,5249.02
2144,16,32768,5241.09
2160,16,32768,5248
2176,16,32768,5241.86
2192,16,32768,5248
2208,16,32768,5241.09
2224,16,32768,5248
2240,16,32768,5241.09
2256,16,32768,5248
2272,16,32768,5241.09
2288,16,32768,5248
2304,16,32768,5241.09
2320,16,32768,5248
2336,16,32768,5241.09
2352,16,32768,5248
2368,16,32768,5241.98
2384,16,32768,5248
2400,16,32768,5241.09
2416,16,32768,5247.49
2432,16,32768,5241.09
2448,16,32768,5248
2464,16,32768,5241.47
2480,16,32768,5247.49
2496,16,32768,5241.09
2512,16,32768,5247.62
2528,16,32768,5241.09
2544,16,32768,5246.98
2560,16,32768,5241.6
2576,16,32768,5247.49
2592,16,32768,5241.09
2608,16,32768,5248
2624,16,32768,5241.09
2640,16,32768,5246.98
2656,16,32768,5241.09
2672,16,32768,5246.98
2688,16,32768,5241.09
2704,16,32768,5246.98
2720,16,32768,5241.09
2736,16,32768,5247.1
2752,16,32768,5241.09
2768,16,32768,5246.98
2784,16,32768,5241.09
2800,16,32768,5246.98
2816,16,32768,5241.09
2832,16,32768,5246.46
2848,16,32768,5241.47
2864,16,32768,5246.98
2880,16,32768,5241.09
2896,16,32768,5247.1
2912,16,32768,5241.09
2928,16,32768,5246.08
2944,16,32768,5241.6
2960,16,32768,5246.98
2976,16,32768,5240.96
2992,16,32768,5246.98
3008,16,32768,5241.09
3024,16,32768,5245.95
3040,16,32768,5240.96
3056,16,32768,5246.21
3072,16,32768,5241.09
3088,16,32768,5246.08
3104,16,32768,5241.09
3120,16,32768,5246.08
3136,16,32768,5241.09
3152,16,32768,5245.95
3168,16,32768,5241.09
3184,16,32768,5245.95
3200,16,32768,5241.09
3216,16,32768,5245.95
3232,16,32768,5241.47
3248,16,32768,5245.95
3264,16,32768,5241.09
3280,16,32768,5245.95
3296,16,32768,5241.09
3312,16,32768,5245.57
3328,16,32768,5240.58
3344,16,32768,5245.18
3360,16,32768,5241.09
3376,16,32768,5245.7
3392,16,32768,5241.09
3408,16,32768,5245.06
3424,16,32768,5241.09
3440,16,32768,5245.95
3456,16,32768,5241.09
3472,16,32768,5246.08
3488,16,32768,5241.09
3504,16,32768,5245.95
3520,16,32768,5241.86
3536,16,32768,5245.95
3552,16,32768,5241.09
3568,16,32768,5245.06
3584,16,32768,5240.96
3600,16,32768,5245.44
3616,16,32768,5241.47
3632,16,32768,5245.57
3648,16,32768,5241.09
3664,16,32768,5245.06
3680,16,32768,5240.96
3696,16,32768,5245.18
3712,16,32768,5241.98
3728,16,32768,5245.06
3744,16,32768,5241.09
3760,16,32768,5245.06
3776,16,32768,5241.09
3792,16,32768,5244.93
3808,16,32768,5241.09
3824,16,32768,5244.93
3840,16,32768,5241.09
3856,16,32768,5244.54
3872,16,32768,5241.09
3888,16,32768,5244.93
3904,16,32768,5241.47
3920,16,32768,5245.06
3936,16,32768,5241.09
3952,16,32768,5245.18
3968,16,32768,5241.09
3984,16,32768,5245.06
4000,16,32768,5241.09
4016,16,32768,5244.93
4032,16,32768,5241.09
4048,16,32768,5244.93
4064,16,32768,5241.09
4080,16,32768,5244.93
4096,16,32768,5241.09
4112,16,32768,5245.06
4128,16,32768,5241.09
4144,16,32768,5245.06
4160,16,32768,5241.09
4176,16,32768,5244.93
4192,16,32768,5241.09
4208,16,32768,5245.57
4224,16,32768,5241.09
4240,16,32768,5245.18
4256,16,32768,5241.09
4272,16,32768,5244.54
4288,16,32768,5240.58
4304,16,32768,5244.42
4320,16,32768,5240.96
4336,16,32768,5244.16
4352,16,32768,5241.09
4368,16,32768,5244.93
4384,16,32768,5241.6
4400,16,32768,5244.93
4416,16,32768,5241.09
4432,16,32768,5244.93
4448,16,32768,5241.09
4464,16,32768,5244.93
4480,16,32768,5241.09
4496,16,32768,5244.93
4512,16,32768,5240.96
4528,16,32768,5244.93
4544,16,32768,5241.09
4560,16,32768,5244.93
4576,16,32768,5241.86
4592,16,32768,5244.54
4608,16,32768,5241.09
4624,16,32768,5244.93
4640,16,32768,5241.09
4656,16,32768,5244.93
4672,16,32768,5241.09
4688,16,32768,5244.93
4704,16,32768,5241.09
4720,16,32768,5244.03
4736,16,32768,5241.09
4752,16,32768,5244.93
4768,16,32768,5241.09
4784,16,32768,5244.93
4800,16,32768,5240.96
4816,16,32768,5244.16
4832,16,32768,5241.09
4848,16,32768,5244.16
4864,16,32768,5241.09
4880,16,32768,5245.06
4896,16,32768,5241.09
4912,16,32768,5244.93
4928,16,32768,5241.09
4944,16,32768,5244.54
4960,16,32768,5241.09
4976,16,32768,5244.16
4992,16,32768,5241.09
5008,16,32768,5244.16
5024,16,32768,5241.09
5040,16,32768,5244.16
5056,16,32768,5241.47
5072,16,32768,5244.93
5088,16,32768,5241.09
5104,16,32768,5244.54
5120,16,32768,5241.09
5136,16,32768,5244.16
5152,16,32768,5241.09
5168,16,32768,5244.16
5184,16,32768,5241.09
5200,16,32768,5244.54
5216,16,32768,5241.09
5232,16,32768,5244.03
5248,16,32768,5241.09
5264,16,32768,5244.03
5280,16,32768,5241.09
5296,16,32768,5244.16
5312,16,32768,5241.09
5328,16,32768,5244.03
5344,16,32768,5241.09
5360,16,32768,5244.16
5376,16,32768,5241.09
5392,16,32768,5244.16
5408,16,32768,5241.09
5424,16,32768,5244.03
5440,16,32768,5241.09
5456,16,32768,5244.03
5472,16,32768,5241.09
5488,16,32768,5244.16
5504,16,32768,5241.09
5520,16,32768,5243.52
5536,16,32768,5240.96
5552,16,32768,5244.16
5568,16,32768,5241.09
5584,16,32768,5244.16
5600,16,32768,5241.09
5616,16,32768,5244.03
5632,16,32768,5241.09
5648,16,32768,5243.9
5664,16,32768,5241.09
5680,16,32768,5244.03
5696,16,32768,5241.09
5712,16,32768,5244.03
5728,16,32768,5241.09
5744,16,32768,5244.16
5760,16,32768,5241.09
5776,16,32768,5244.16
5792,16,32768,5241.09
5808,16,32768,5244.03
5824,16,32768,5241.09
5840,16,32768,5243.9
5856,16,32768,5241.09
5872,16,32768,5244.16
5888,16,32768,5241.09
5904,16,32768,5244.16
5920,16,32768,5241.47
5936,16,32768,5244.03
5952,16,32768,5241.09
5968,16,32768,5243.9
5984,16,32768,5241.09
6000,16,32768,5244.16
6016,16,32768,5241.09
6032,16,32768,5243.52
6048,16,32768,5241.09
6064,16,32768,5244.16
6080,16,32768,5241.09
6096,16,32768,5244.03
6112,16,32768,5241.09
6128,16,32768,5243.9
6144,16,32768,5241.09
6160,16,32768,5244.03
6176,16,32768,5240.96
6192,16,32768,5244.03
6208,16,32768,5241.09
6224,16,32768,5243.9
6240,16,32768,5241.09
6256,16,32768,5243.9
6272,16,32768,5240.45
6288,16,32768,5243.01
6304,16,32768,5241.47
6320,16,32768,5244.03
6336,16,32768,5241.09
6352,16,32768,5244.03
6368,16,32768,5241.09
6384,16,32768,5243.9
6400,16,32768,5241.98
6416,16,32768,5243.9
6432,16,32768,5241.09
6448,16,32768,5244.16
6464,16,32768,5241.09
6480,16,32768,5243.52
6496,16,32768,5241.09
6512,16,32768,5244.03
6528,16,32768,5241.09
6544,16,32768,5243.9
6560,16,32768,5241.09
6576,16,32768,5243.14
6592,16,32768,5241.47
6608,16,32768,5243.9
6624,16,32768,5241.09
6640,16,32768,5243.9
6656,16,32768,5241.09
6672,16,32768,5243.52
6688,16,32768,5241.09
6704,16,32768,5243.9
6720,16,32768,5241.09
6736,16,32768,5243.52
6752,16,32768,5241.09
6768,16,32768,5243.14
6784,16,32768,5241.47
6800,16,32768,5243.14
6816,16,32768,5241.09
6832,16,32768,5243.65
6848,16,32768,5241.09
6864,16,32768,5243.9
6880,16,32768,5241.09
6896,16,32768,5243.52
6912,16,32768,5241.09
6928,16,32768,5243.14
6944,16,32768,5241.09
6960,16,32768,5243.14
6976,16,32768,5241.47
6992,16,32768,5243.9
7008,16,32768,5241.09
7024,16,32768,5243.14
7040,16,32768,5241.09
7056,16,32768,5243.52
7072,16,32768,5241.09
7088,16,32768,5243.52
7104,16,32768,5241.09
7120,16,32768,5243.14
7136,16,32768,5241.09
7152,16,32768,5243.14
7168,16,32768,5240.96
7184,16,32768,5243.14
7200,16,32768,5241.09
7216,16,32768,5243.01
7232,16,32768,5241.09
7248,16,32768,5243.14
7264,16,32768,5241.47
7280,16,32768,5243.14
7296,16,32768,5241.09
7312,16,32768,5243.01
7328,16,32768,5241.09
7344,16,32768,5243.01
7360,16,32768,5241.09
7376,16,32768,5243.14
7392,16,32768,5241.09
7408,16,32768,5243.14
7424,16,32768,5240.96
7440,16,32768,5242.88
7456,16,32768,5241.47
7472,16,32768,5243.14
7488,16,32768,5241.09
7504,16,32768,5243.14
7520,16,32768,5241.09
7536,16,32768,5243.14
7552,16,32768,5241.86
7568,16,32768,5243.14
7584,16,32768,5241.09
7600,16,32768,5243.14
7616,16,32768,5241.09
7632,16,32768,5243.14
7648,16,32768,5241.09
7664,16,32768,5243.14
7680,16,32768,5241.09
7696,16,32768,5243.14
7712,16,32768,5241.09
7728,16,32768,5243.14
7744,16,32768,5241.09
7760,16,32768,5243.14
7776,16,32768,5241.09
7792,16,32768,5243.14
7808,16,32768,5241.09
7824,16,32768,5243.01
7840,16,32768,5241.09
7856,16,32768,5243.01
7872,16,32768,5241.09
7888,16,32768,5243.14
7904,16,32768,5241.09
7920,16,32768,5243.14
7936,16,32768,5241.47
7952,16,32768,5243.14
7968,16,32768,5241.09
7984,16,32768,5243.14
8000,16,32768,5241.09
8016,16,32768,5243.14
8032,16,32768,5241.09
8048,16,32768,5243.14
8064,16,32768,5241.09
8080,16,32768,5243.01
8096,16,32768,5241.09
8112,16,32768,5243.14
8128,16,32768,5241.09
8144,16,32768,5242.62
8160,16,32768,5241.09
8176,16,32768,5243.14
8192,16,32768,5241.09
8208,16,32768,5242.5
8224,16,32768,5240.45
8240,16,32768,5242.88
8256,16,32768,5241.09
8272,16,32768,5243.01
8288,16,32768,5241.98
8304,16,32768,5243.14
8320,16,32768,5241.09
8336,16,32768,5243.14
8352,16,32768,5241.09
8368,16,32768,5243.14
8384,16,32768,5240.58
8400,16,32768,5242.88
8416,16,32768,5241.09
8432,16,32768,5243.14
8448,16,32768,5241.09
8464,16,32768,5243.14
8480,16,32768,5241.09
8496,16,32768,5242.5
8512,16,32768,5241.6
8528,16,32768,5243.14
8544,16,32768,5241.09
8560,16,32768,5243.14
8576,16,32768,5241.09
8592,16,32768,5243.14
8608,16,32768,5241.47
8624,16,32768,5242.5
8640,16,32768,5241.09
8656,16,32768,5243.14
8672,16,32768,5241.09
8688,16,32768,5243.14
8704,16,32768,5241.6
8720,16,32768,5243.14
8736,16,32768,5241.09
8752,16,32768,5243.14
8768,16,32768,5241.09
8784,16,32768,5243.14
8800,16,32768,5241.09
8816,16,32768,5242.88
8832,16,32768,5241.09
8848,16,32768,5243.01
8864,16,32768,5241.09
8880,16,32768,5243.14
8896,16,32768,5240.06
8912,16,32768,5242.11
8928,16,32768,5241.09
8944,16,32768,5243.14
8960,16,32768,5241.09
8976,16,32768,5243.01
8992,16,32768,5241.09
9008,16,32768,5243.14
9024,16,32768,5241.09
9040,16,32768,5243.14
9056,16,32768,5240.96
9072,16,32768,5243.01
9088,16,32768,5241.6
9104,16,32768,5242.88
9120,16,32768,5241.09
9136,16,32768,5242.88
9152,16,32768,5241.09
9168,16,32768,5243.14
9184,16,32768,5241.47
9200,16,32768,5243.14
9216,16,32768,5241.09
9232,16,32768,5242.88
9248,16,32768,5241.09
9264,16,32768,5243.14
9280,16,32768,5241.47
9296,16,32768,5243.14
9312,16,32768,5241.09
9328,16,32768,5243.14
9344,16,32768,5241.09
9360,16,32768,5243.14
9376,16,32768,5241.09
9392,16,32768,5243.01
9408,16,32768,5241.09
9424,16,32768,5242.88
9440,16,32768,5241.09
9456,16,32768,5242.88
9472,16,32768,5241.09
9488,16,32768,5243.14
9504,16,32768,5241.09
9520,16,32768,5243.14
9536,16,32768,5241.09
9552,16,32768,5242.88
9568,16,32768,5241.09
9584,16,32768,5243.14
9600,16,32768,5241.09
9616,16,32768,5243.14
9632,16,32768,5241.09
9648,16,32768,5242.88
9664,16,32768,5241.98
9680,16,32768,5243.01
9696,16,32768,5241.09
9712,16,32768,5243.01
9728,16,32768,5241.09
9744,16,32768,5243.01
9760,16,32768,5241.09
9776,16,32768,5243.14
9792,16,32768,5241.09
9808,16,32768,5243.14
9824,16,32768,5241.09
9840,16,32768,5242.5
9856,16,32768,5241.09
9872,16,32768,5243.01
9888,16,32768,5241.09
9904,16,32768,5242.11
9920,16,32768,5241.09
9936,16,32768,5242.88
9952,16,32768,5241.47
9968,16,32768,5242.5
9984,16,32768,5241.09
10000,16,32768,5242.88
10016,16,32768,5241.09
10032,16,32768,5243.01
10048,16,32768,5241.09
10064,16,32768,5242.88
10080,16,32768,5241.09
10096,16,32768,5243.01
10112,16,32768,5241.09
10128,16,32768,5243.01
10144,16,32768,5241.09
10160,16,32768,5243.14
10176,16,32768,5241.09
10192,16,32768,5243.01
10208,16,32768,5241.09
10224,16,32768,5243.14
10240,16,32768,5241.98
10256,16,32768,5242.88
10272,16,32768,5241.09
10288,16,32768,5242.11
10304,16,32768,5240.96
10320,16,32768,5242.88
10336,16,32768,5241.47
10352,16,32768,5242.88
10368,16,32768,5240.83
10384,16,32768,5242.88
10400,16,32768,5241.09
10416,16,32768,5243.14
10432,16,32768,5241.6
10448,16,32768,5242.88
10464,16,32768,5241.09
10480,16,32768,5243.01
10496,16,32768,5240.96
10512,16,32768,5243.14
10528,16,32768,5241.09
10544,16,32768,5243.01
10560,16,32768,5241.09
10576,16,32768,5242.88
10592,16,32768,5241.09
10608,16,32768,5242.88
10624,16,32768,5241.6
10640,16,32768,5243.14
10656,16,32768,5240.83
10672,16,32768,5243.01
10688,16,32768,5241.09
10704,16,32768,5243.01
10720,16,32768,5241.09
10736,16,32768,5242.5
10752,16,32768,5241.09
10768,16,32768,5243.01
10784,16,32768,5241.09
10800,16,32768,5242.5
10816,16,32768,5241.09
10832,16,32768,5242.11
10848,16,32768,5240.96
10864,16,32768,5242.11
10880,16,32768,5241.09
10896,16,32768,5243.01
10912,16,32768,5240.96
10928,16,32768,5243.01
10944,16,32768,5241.09
10960,16,32768,5242.88
10976,16,32768,5241.09
10992,16,32768,5242.11
11008,16,32768,5241.09
11024,16,32768,5242.5
11040,16,32768,5241.09
11056,16,32768,5242.11
11072,16,32768,5241.09
11088,16,32768,5241.98
11104,16,32768,5241.09
11120,16,32768,5242.88
11136,16,32768,5241.09
11152,16,32768,5243.01
11168,16,32768,5241.09
11184,16,32768,5243.01
11200,16,32768,5241.09
11216,16,32768,5242.5
11232,16,32768,5241.09
11248,16,32768,5242.11
11264,16,32768,5240.45
11280,16,32768,5243.01
11296,16,32768,5241.09
11312,16,32768,5243.01
11328,16,32768,5241.09
11344,16,32768,5242.5
11360,16,32768,5241.09
11376,16,32768,5243.01
11392,16,32768,5241.47
11408,16,32768,5242.11
11424,16,32768,5241.09
11440,16,32768,5242.5
11456,16,32768,5241.09
11472,16,32768,5242.88
11488,16,32768,5241.09
11504,16,32768,5242.88
11520,16,32768,5241.09
11536,16,32768,5243.14
11552,16,32768,5241.09
11568,16,32768,5242.88
11584,16,32768,5241.09
11600,16,32768,5243.01
11616,16,32768,5241.09
11632,16,32768,5242.88
11648,16,32768,5241.09
11664,16,32768,5242.11
11680,16,32768,5241.09
11696,16,32768,5242.11
11712,16,32768,5241.09
11728,16,32768,5242.11
11744,16,32768,5241.09
11760,16,32768,5242.88
11776,16,32768,5241.09
11792,16,32768,5242.88
11808,16,32768,5241.09
11824,16,32768,5242.88
11840,16,32768,5241.09
11856,16,32768,5242.11
11872,16,32768,5241.09
11888,16,32768,5242.88
11904,16,32768,5241.09
11920,16,32768,5242.62
11936,16,32768,5241.09
11952,16,32768,5242.11
11968,16,32768,5241.09
11984,16,32768,5242.5
12000,16,32768,5241.09
12016,16,32768,5242.11
12032,16,32768,5241.09
12048,16,32768,5242.88
12064,16,32768,5241.09
12080,16,32768,5242.88
12096,16,32768,5241.09
12112,16,32768,5243.01
12128,16,32768,5241.09
12144,16,32768,5242.11
12160,16,32768,5241.09
12176,16,32768,5243.01
12192,16,32768,5241.47
12208,16,32768,5242.88
12224,16,32768,5241.09
12240,16,32768,5242.11
12256,16,32768,5241.09
12272,16,32768,5242.88
12288,16,32768,5241.09
12304,16,32768,5242.11
12320,16,32768,5241.09
12336,16,32768,5242.11
12352,16,32768,5241.09
12368,16,32768,5242.5
12384,16,32768,5241.09
12400,16,32768,5242.11
12416,16,32768,5241.09
12432,16,32768,5242.11
12448,16,32768,5241.09
12464,16,32768,5242.62
12480,16,32768,5241.09
12496,16,32768,5243.01
12512,16,32768,5241.09
12528,16,32768,5242.11
12544,16,32768,5241.6
12560,16,32768,5242.88
12576,16,32768,5241.09
12592,16,32768,5242.5
12608,16,32768,5241.09
12624,16,32768,5242.11
12640,16,32768,5241.09
12656,16,32768,5242.5
12672,16,32768,5241.09
12688,16,32768,5242.62
12704,16,32768,5241.09
12720,16,32768,5243.01
12736,16,32768,5241.09
12752,16,32768,5242.11
12768,16,32768,5241.09
12784,16,32768,5242.11
12800,16,32768,5240.45
12816,16,32768,5242.5
12832,16,32768,5241.09
12848,16,32768,5242.62
12864,16,32768,5241.09
12880,16,32768,5243.01
12896,16,32768,5241.09
12912,16,32768,5243.01
12928,16,32768,5241.47
12944,16,32768,5242.88
12960,16,32768,5241.09
12976,16,32768,5242.11
12992,16,32768,5240.96
13008,16,32768,5241.98
13024,16,32768,5241.09
13040,16,32768,5242.11
13056,16,32768,5241.09
13072,16,32768,5242.62
13088,16,32768,5241.09
13104,16,32768,5242.11
13120,16,32768,5241.09
13136,16,32768,5242.11
13152,16,32768,5241.09
13168,16,32768,5242.5
13184,16,32768,5241.09
13200,16,32768,5242.11
13216,16,32768,5241.47
13232,16,32768,5242.5
13248,16,32768,5241.09
13264,16,32768,5242.11
13280,16,32768,5241.09
13296,16,32768,5242.11
13312,16,32768,5241.6
13328,16,32768,5242.11
13344,16,32768,5241.09
13360,16,32768,5242.11
13376,16,32768,5241.09
13392,16,32768,5243.01
13408,16,32768,5241.09
13424,16,32768,5242.5
13440,16,32768,5240.96
13456,16,32768,5242.11
13472,16,32768,5241.09
13488,16,32768,5241.47
13504,16,32768,5241.09
13520,16,32768,5242.11
13536,16,32768,5240.06
13552,16,32768,5242.5
13568,16,32768,5241.09
13584,16,32768,5242.11
13600,16,32768,5240.83
13616,16,32768,5241.09
13632,16,32768,5240.06
13648,16,32768,5242.11
13664,16,32768,5240.06
13680,16,32768,5241.09
13696,16,32768,5240.06
13712,16,32768,5241.98
13728,16,32768,5240.06
13744,16,32768,5242.11
13760,16,32768,5240.45
13776,16,32768,5242.11
13792,16,32768,5240.06
13808,16,32768,5241.47
13824,16,32768,5240.96
13840,16,32768,5241.86
13856,16,32768,5241.47
13872,16,32768,5242.11
13888,16,32768,5241.09
13904,16,32768,5242.11
13920,16,32768,5241.09
13936,16,32768,5242.11
13952,16,32768,5241.09
13968,16,32768,5242.11
13984,16,32768,5241.6
14000,16,32768,5242.5
14016,16,32768,5241.09
14032,16,32768,5242.11
14048,16,32768,5240.96
14064,16,32768,5241.98
14080,16,32768,5241.6
14096,16,32768,5242.11
14112,16,32768,5240.45
14128,16,32768,5242.11
14144,16,32768,5241.09
14160,16,32768,5242.11
14176,16,32768,5241.09
14192,16,32768,5242.11
14208,16,32768,5241.09
14224,16,32768,5242.11
14240,16,32768,5241.09
14256,16,32768,5242.11
14272,16,32768,5241.09
14288,16,32768,5242.11
14304,16,32768,5241.09
14320,16,32768,5242.11
14336,16,32768,5241.09
14352,16,32768,5242.11
14368,16,32768,5241.09
14384,16,32768,5242.11
14400,16,32768,5241.09
14416,16,32768,5242.11
14432,16,32768,5241.09
14448,16,32768,5241.6
14464,16,32768,5241.09
14480,16,32768,5241.98
14496,16,32768,5240.83
14512,16,32768,5242.5
14528,16,32768,5241.09
14544,16,32768,5241.09
14560,16,32768,5240.58
14576,16,32768,5242.11
14592,16,32768,5241.09
14608,16,32768,5242.5
14624,16,32768,5241.09
14640,16,32768,5242.11
14656,16,32768,5241.6
14672,16,32768,5243.01
14688,16,32768,5241.09
14704,16,32768,5242.11
14720,16,32768,5241.09
14736,16,32768,5242.11
14752,16,32768,5241.09
14768,16,32768,5242.11
14784,16,32768,5241.09
14800,16,32768,5242.5
14816,16,32768,5241.09
14832,16,32768,5242.11
14848,16,32768,5241.09
14864,16,32768,5242.11
14880,16,32768,5240.96
14896,16,32768,5242.5
14912,16,32768,5241.09
14928,16,32768,5242.11
14944,16,32768,5241.09
14960,16,32768,5242.11
14976,16,32768,5241.09
14992,16,32768,5242.11
15008,16,32768,5241.09
15024,16,32768,5242.11
15040,16,32768,5241.09
15056,16,32768,5242.11
15072,16,32768,5241.09
15088,16,32768,5242.11
15104,16,32768,5241.09
15120,16,32768,5242.11
15136,16,32768,5241.09
15152,16,32768,5242.11
15168,16,32768,5240.96
15184,16,32768,5242.11
15200,16,32768,5241.09
15216,16,32768,5242.11
15232,16,32768,5241.47
15248,16,32768,5241.98
15264,16,32768,5241.09
15280,16,32768,5241.98
15296,16,32768,5241.09
15312,16,32768,5242.11
15328,16,32768,5241.47
15344,16,32768,5242.11
15360,16,32768,5241.09
15376,16,32768,5242.11
15392,16,32768,5240.83
15408,16,32768,5242.11
15424,16,32768,5241.09
15440,16,32768,5242.11
15456,16,32768,5241.09
15472,16,32768,5242.11
15488,16,32768,5241.09
15504,16,32768,5242.11
15520,16,32768,5241.09
15536,16,32768,5242.11
15552,16,32768,5240.83
15568,16,32768,5242.11
15584,16,32768,5241.09
15600,16,32768,5241.98
15616,16,32768,5241.09
15632,16,32768,5242.11
15648,16,32768,5241.09
15664,16,32768,5242.11
15680,16,32768,5240.96
15696,16,32768,5242.11
15712,16,32768,5241.47
15728,16,32768,5242.11
15744,16,32768,5241.09
15760,16,32768,5242.11
15776,16,32768,5241.09
15792,16,32768,5242.11
15808,16,32768,5241.09
15824,16,32768,5242.11
15840,16,32768,5241.09
15856,16,32768,5242.11
15872,16,32768,5241.09
15888,16,32768,5242.11
15904,16,32768,5241.47
15920,16,32768,5242.5
15936,16,32768,5241.09
15952,16,32768,5242.5
15968,16,32768,5241.09
15984,16,32768,5242.11
16000,16,32768,5241.47
16016,16,32768,5242.11
16032,16,32768,5241.09
16048,16,32768,5241.98
16064,16,32768,5240.96
16080,16,32768,5242.11
16096,16,32768,5241.09
16112,16,32768,5242.11
16128,16,32768,5241.09
16144,16,32768,5242.11
16160,16,32768,5241.09
16176,16,32768,5242.11
16192,16,32768,5241.09
16208,16,32768,5242.11
16224,16,32768,5241.09
