range (byte),stride (byte),niter,t (us)
16,16,100,16
16,16,6250,816
16,16,7659,999.04
16,16,32768,4261.12
32,16,32768,4261.12
48,16,32768,4260.99
64,16,32768,4261.12
80,16,32768,4261.5
96,16,32768,4261.12
112,16,32768,4260.99
128,16,32768,4261.12
144,16,32768,4261.12
160,16,32768,4261.12
176,16,32768,4261.12
192,16,32768,4261.12
208,16,32768,4261.12
224,16,32768,4261.89
240,16,32768,4261.89
256,16,32768,4261.12
272,16,32768,4261.89
288,16,32768,4261.89
304,16,32768,4261.5
320,16,32768,4261.89
336,16,32768,4261.89
352,16,32768,4261.5
368,16,32768,4261.89
384,16,32768,4261.89
400,16,32768,4262.02
416,16,32768,4262.14
432,16,32768,4261.89
448,16,32768,4262.14
464,16,32768,4262.02
480,16,32768,4262.02
496,16,32768,4262.14
512,16,32768,4262.02
528,16,32768,4262.14
544,16,32768,4262.02
560,16,32768,4262.14
576,16,32768,4262.14
592,16,32768,4262.14
608,16,32768,4262.53
624,16,32768,4262.14
640,16,32768,4262.14
656,16,32768,4262.02
672,16,32768,4262.53
688,16,32768,4262.14
704,16,32768,4262.91
720,16,32768,4262.53
736,16,32768,4262.14
752,16,32768,4262.91
768,16,32768,4262.02
784,16,32768,4262.14
800,16,32768,4262.91
816,16,32768,4263.04
832,16,32768,4262.91
848,16,32768,4262.91
864,16,32768,4262.91
880,16,32768,4262.53
896,16,32768,4262.91
912,16,32768,4263.04
928,16,32768,4263.04
944,16,32768,4263.17
960,16,32768,4263.04
976,16,32768,4262.91
992,16,32768,4263.17
1008,16,32768,4263.04
1024,16,32768,4263.04
1040,16,32768,4775.04
1040,16,32768,4774.53
1040,32,32768,4775.17
1040,48,32768,4624.9
1040,64,32768,4775.17
1040,80,32768,4262.02
1040,96,32768,4624.13
1040,112,32768,4594.94
1040,128,32768,4775.04
1040,144,32768,4594.94
1040,160,32768,4261.89
1040,176,32768,4744.96
1040,192,32768,4775.55
1040,208,32768,4260.99
1040,224,32768,4654.59
1040,240,32768,4262.02
1040,256,32768,4774.91
1040,272,32768,4624.9
1040,288,32768,4655.1
1040,304,32768,4624.13
1040,320,32768,4261.5
1040,336,32768,4775.55
1040,352,32768,4744.96
1040,368,32768,4624.13
1040,384,32768,4624.13
1040,400,32768,4262.02
1040,416,32768,4261.12
1040,432,32768,4684.54
1040,448,32768,4713.98
1040,464,32768,4715.01
1040,480,32768,4262.14
1040,496,32768,4624.51
1040,512,32768,4774.91
1040,528,32768,4775.04
1040,544,32768,4624.9
1040,560,32768,4261.89
1040,576,32768,4715.01
1040,592,32768,4715.01
1040,608,32768,4684.54
1040,624,32768,4261.12
1040,640,32768,4261.63
1040,656,32768,4624.13
1040,672,32768,4624.13
1040,688,32768,4744.96
1040,704,32768,4775.55
1040,720,32768,4261.89
1040,736,32768,4624.9
1040,752,32768,4654.46
1040,768,32768,4624.13
1040,784,32768,4775.04
1040,800,32768,4262.14
1040,816,32768,4654.98
1040,832,32768,4261.5
1040,848,32768,4775.17
1040,864,32768,4744.96
1040,880,32768,4261.89
1040,896,32768,4594.43
1040,912,32768,4775.55
1040,928,32768,4594.94
1040,944,32768,4624.13
1040,960,32768,4261.12
1040,976,32768,4775.94
1040,992,32768,4625.02
1040,1008,32768,4775.94
1040,16,32768,4775.04
1056,16,32768,4766.98
1072,16,32768,5256.06
1088,16,32768,5241.09
1104,16,32768,5255.04
1120,16,32768,5241.47
1136,16,32768,5255.04
1152,16,32768,5241.09
1168,16,32768,5254.91
1184,16,32768,5241.09
1200,16,32768,5254.14
1216,16,32768,5241.09
1232,16,32768,5254.14
1248,16,32768,5241.09
