range (byte),t (us),bandwidth (gbps)
16,1896.45,70.7732
32,1895.04,70.8258
64,3641.47,36.8581
128,3748.99,35.801
256,2089.6,64.2313
512,1963.52,68.3557
1024,1934.08,69.3962
2048,1437.06,93.3977
4096,1432.58,93.6898
8192,1412.48,95.0227
16384,1408.38,95.2991
32768,1412.22,95.04
