range (byte),stride (byte),niter,t (us)
16,16,100,14.464
16,16,6913,783.616
16,16,8821,998.528
16,16,65536,7397.5
32,16,65536,7397.89
48,16,65536,7397.89
64,16,65536,7397.89
80,16,65536,7398.02
96,16,65536,7397.89
112,16,65536,7397.5
128,16,65536,7397.89
144,16,65536,7397.89
160,16,65536,7397.12
176,16,65536,7397.12
192,16,65536,7397.89
208,16,65536,7397.12
224,16,65536,7397.12
240,16,65536,7398.02
256,16,65536,7397.5
272,16,65536,7398.14
288,16,65536,7396.99
304,16,65536,7397.89
320,16,65536,7397.89
336,16,65536,7397.89
352,16,65536,7397.12
368,16,65536,7397.12
384,16,65536,7397.12
400,16,65536,7397.12
416,16,65536,7397.12
432,16,65536,7397.5
448,16,65536,7397.89
464,16,65536,7397.89
480,16,65536,7397.12
496,16,65536,7397.12
512,16,65536,7397.12
528,16,65536,7397.89
544,16,65536,7397.12
560,16,65536,7397.12
576,16,65536,7397.5
592,16,65536,7397.12
608,16,65536,7397.89
624,16,65536,7397.89
640,16,65536,7397.12
656,16,65536,7397.89
672,16,65536,7397.89
688,16,65536,7397.12
704,16,65536,7397.5
720,16,65536,7397.89
736,16,65536,7397.12
752,16,65536,7397.12
768,16,65536,7397.12
784,16,65536,7397.89
800,16,65536,7398.02
816,16,65536,7398.02
832,16,65536,7397.5
848,16,65536,7397.12
864,16,65536,7397.89
880,16,65536,7397.12
896,16,65536,7397.12
912,16,65536,7397.89
928,16,65536,7397.89
944,16,65536,7397.89
960,16,65536,7397.89
976,16,65536,7397.5
992,16,65536,7398.02
1008,16,65536,7398.02
1024,16,65536,7397.12
1040,16,65536,7397.12
1056,16,65536,7397.63
1072,16,65536,7397.5
1088,16,65536,7397.12
1104,16,65536,7397.5
1120,16,65536,7398.14
1136,16,65536,7397.5
1152,16,65536,7397.89
1168,16,65536,7397.5
1184,16,65536,7397.12
1200,16,65536,7397.89
1216,16,65536,7397.12
1232,16,65536,7397.12
1248,16,65536,7397.5
1264,16,65536,7397.12
1280,16,65536,7397.12
1296,16,65536,7398.02
1312,16,65536,7397.12
1328,16,65536,7397.5
1344,16,65536,7398.02
1360,16,65536,7397.12
1376,16,65536,7397.5
1392,16,65536,7397.5
1408,16,65536,7397.12
1424,16,65536,7397.12
1440,16,65536,7397.12
1456,16,65536,7397.89
1472,16,65536,7397.89
1488,16,65536,7397.5
1504,16,65536,7397.5
1520,16,65536,7397.12
1536,16,65536,7398.02
1552,16,65536,7397.12
1568,16,65536,7397.12
1584,16,65536,7397.89
1600,16,65536,7398.02
1616,16,65536,7397.89
1632,16,65536,7397.12
1648,16,65536,7397.5
1664,16,65536,7397.63
1680,16,65536,7397.89
1696,16,65536,7397.12
1712,16,65536,7397.12
1728,16,65536,7397.5
1744,16,65536,7397.12
1760,16,65536,7397.12
1776,16,65536,7397.12
1792,16,65536,7398.02
1808,16,65536,7397.5
1824,16,65536,7397.89
1840,16,65536,7397.12
1856,16,65536,7397.5
1872,16,65536,7398.02
1888,16,65536,7397.5
1904,16,65536,7397.12
1920,16,65536,7398.02
1936,16,65536,7397.12
1952,16,65536,7397.89
1968,16,65536,7397.89
1984,16,65536,7397.5
2000,16,65536,7397.89
2016,16,65536,7397.89
2032,16,65536,7397.5
2048,16,65536,7397.5
2064,16,65536,7397.89
2080,16,65536,7396.99
2096,16,65536,7397.12
2112,16,65536,7397.12
2128,16,65536,7397.89
2144,16,65536,7397.63
2160,16,65536,7397.5
2176,16,65536,7397.12
2192,16,65536,7397.12
2208,16,65536,7397.89
2224,16,65536,7397.12
2240,16,65536,7397.12
2256,16,65536,7398.02
2272,16,65536,7398.02
2288,16,65536,7397.89
2304,16,65536,7397.89
2320,16,65536,7397.12
2336,16,65536,7398.02
2352,16,65536,7397.89
2368,16,65536,7397.12
2384,16,65536,7397.12
2400,16,65536,7397.5
2416,16,65536,7397.12
2432,16,65536,7397.12
2448,16,65536,7397.12
2464,16,65536,7397.12
2480,16,65536,7397.12
2496,16,65536,7397.5
2512,16,65536,7397.12
2528,16,65536,7397.5
2544,16,65536,7397.89
2560,16,65536,7397.12
2576,16,65536,7397.12
2592,16,65536,7397.89
2608,16,65536,7397.5
2624,16,65536,7397.5
2640,16,65536,7397.89
2656,16,65536,7397.5
2672,16,65536,7397.63
2688,16,65536,7398.02
2704,16,65536,7397.12
2720,16,65536,7397.89
2736,16,65536,7398.02
2752,16,65536,7397.12
2768,16,65536,7397.12
2784,16,65536,7397.5
2800,16,65536,7397.63
2816,16,65536,7397.12
2832,16,65536,7397.12
2848,16,65536,7397.5
2864,16,65536,7397.12
2880,16,65536,7397.89
2896,16,65536,7397.12
2912,16,65536,7397.12
2928,16,65536,7398.02
2944,16,65536,7398.02
2960,16,65536,7397.63
2976,16,65536,7397.5
2992,16,65536,7398.14
3008,16,65536,7397.63
3024,16,65536,7398.14
3040,16,65536,7397.12
3056,16,65536,7397.12
3072,16,65536,7397.89
3088,16,65536,7397.12
3104,16,65536,7397.12
3120,16,65536,7397.12
3136,16,65536,7397.12
3152,16,65536,7398.02
3168,16,65536,7398.02
3184,16,65536,7397.5
3200,16,65536,7397.5
3216,16,65536,7398.02
3232,16,65536,7397.5
3248,16,65536,7397.12
3264,16,65536,7397.89
3280,16,65536,7397.12
3296,16,65536,7397.5
3312,16,65536,7398.02
3328,16,65536,7397.12
3344,16,65536,7398.02
3360,16,65536,7397.89
3376,16,65536,7397.12
3392,16,65536,7397.5
3408,16,65536,7397.5
3424,16,65536,7397.12
3440,16,65536,7397.12
3456,16,65536,7397.12
3472,16,65536,7397.5
3488,16,65536,7397.89
3504,16,65536,7398.02
3520,16,65536,7397.12
3536,16,65536,7397.5
3552,16,65536,7397.5
3568,16,65536,7397.12
3584,16,65536,7397.12
3600,16,65536,7397.89
3616,16,65536,7398.02
3632,16,65536,7397.89
3648,16,65536,7397.12
3664,16,65536,7397.5
3680,16,65536,7397.89
3696,16,65536,7397.12
3712,16,65536,7396.86
3728,16,65536,7397.12
3744,16,65536,7397.5
3760,16,65536,7396.99
3776,16,65536,7397.5
3792,16,65536,7397.89
3808,16,65536,7398.14
3824,16,65536,7397.5
3840,16,65536,7397.12
3856,16,65536,7397.5
3872,16,65536,7398.02
3888,16,65536,7397.89
3904,16,65536,7397.12
3920,16,65536,7397.12
3936,16,65536,7397.63
3952,16,65536,7397.5
3968,16,65536,7397.89
3984,16,65536,7397.89
4000,16,65536,7397.12
4016,16,65536,7398.02
4032,16,65536,7397.89
4048,16,65536,7397.12
4064,16,65536,7397.5
4080,16,65536,7397.5
4096,16,65536,7397.12
4112,16,65536,7397.12
4128,16,65536,7397.12
4144,16,65536,7397.12
4160,16,65536,7398.02
4176,16,65536,7396.99
4192,16,65536,7397.89
4208,16,65536,7397.12
4224,16,65536,7397.89
4240,16,65536,7397.12
4256,16,65536,7396.99
4272,16,65536,7398.02
4288,16,65536,7398.02
4304,16,65536,7398.02
